Key,en,es,ar,fr,de,ru,tr,hi,ur,cn,ig-ng
Category status updated successfully!,Category status updated successfully!,¡El estado de la categoría se actualizó exitosamente!,تم تحديث حالة الفئة بنجاح!,Statut de la catégorie mis à jour avec succès !,Kategoriestatus erfolgreich aktualisiert!,Статус категории успешно обновлен!,Kategori durumu başarıyla güncellendi!,श्रेणी स्थिति सफलतापूर्वक अपडेट की गई!,زمرہ کی حیثیت کامیابی کے ساتھ اپ ڈیٹ ہو گئی!,类别状态更新成功！,Emelitere ọkwa otu nke ọma!
Category deleted successfully!,Category deleted successfully!,¡Categoría eliminada exitosamente!,تم حذف الفئة بنجاح!,Catégorie supprimée avec succès !,Kategorie erfolgreich gelöscht!,Категория успешно удалена!,Kategori başarıyla silindi!,श्रेणी सफलतापूर्वक हटा दी गई!,زمرہ کامیابی سے حذف ہو گیا!,分类删除成功！,Otu ehichapụrụ nke ọma!
Add Announcement,Add Announcement,Agregar anuncio,إضافة إعلان,Ajouter une annonce,Ankündigung hinzufügen,Добавить объявление,Duyuru Ekle,घोषणा जोड़ें,اعلان شامل کریں۔,添加公告,Tinye ọkwa
Are you sure to delete this announcement?,Are you sure to delete this announcement?,¿Estás seguro de eliminar este anuncio?,هل أنت متأكد من حذف هذا الإعلان؟,Êtes-vous sûr de supprimer cette annonce ?,Möchten Sie diese Ankündigung wirklich löschen?,"Вы уверены, что удалите это объявление?",Bu duyuruyu sileceğinizden emin misiniz?,क्या आप निश्चित रूप से इस घोषणा को हटाना चाहते हैं?,کیا آپ واقعی اس اعلان کو حذف کرنا چاہتے ہیں؟,您确定删除此公告吗？,Ị ji n'aka na ị ga-ehichapụ ọkwa a?
Create New Announcement,Create New Announcement,Crear nuevo anuncio,إنشاء إعلان جديد,Créer une nouvelle annonce,Neue Ankündigung erstellen,Создать новое объявление,Yeni Duyuru Oluştur,नई घोषणा बनाएं,نیا اعلان بنائیں,创建新公告,Mepụta ọkwa ọhụrụ
Select Category,Select Category,Seleccionar categoría,حدد الفئة,Sélectionnez une catégorie,Kategorie wählen,выберите категорию,Kategori seç,श्रेणी चुनना,زمرہ منتخب کریں۔,选择类别,Họrọ udi
Announcement title is similar. Please update/change this title,Announcement title is similar. Please update/change this title,El título del anuncio es similar. Por favor actualice/cambie este título,عنوان الإعلان مشابه. يرجى تحديث/تغيير هذا العنوان,Le titre de l’annonce est similaire. Veuillez mettre à jour/modifier ce titre,Der Titel der Ankündigung ist ähnlich. Bitte aktualisieren/ändern Sie diesen Titel,"Название объявления аналогичное. Пожалуйста, обновите/измените это название",Duyuru başlığı benzerdir. Lütfen bu başlığı güncelleyin/değiştirin,घोषणा का शीर्षक समान है. कृपया इस शीर्षक को अद्यतन/बदलें,اعلان کا عنوان ملتا جلتا ہے۔ براہ کرم اس عنوان کو اپ ڈیٹ/تبدیل کریں۔,公告标题相似。请更新/更改此标题,Aha ọkwa yiri ya. Biko melite/gbanwee aha a
Announcement created successfully!,Announcement created successfully!,¡Anuncio creado exitosamente!,تم إنشاء الإعلان بنجاح!,Annonce créée avec succès !,Ankündigung erfolgreich erstellt!,Объявление успешно создано!,Duyuru başarıyla oluşturuldu!,घोषणा सफलतापूर्वक बनाई गई!,اعلان کامیابی کے ساتھ بنایا گیا!,公告创建成功！,Emepụtara ọkwa nke ọma!
Announcement status updated successfully!,Announcement status updated successfully!,¡El estado del anuncio se actualizó exitosamente!,تم تحديث حالة الإعلان بنجاح!,Statut de l'annonce mis à jour avec succès !,Ankündigungsstatus erfolgreich aktualisiert!,Статус объявления успешно обновлен!,Duyuru durumu başarıyla güncellendi!,घोषणा स्थिति सफलतापूर्वक अपडेट की गई!,اعلان کی حیثیت کامیابی کے ساتھ اپ ڈیٹ ہو گئی!,公告状态更新成功！,Emelitere ọkwa ọkwa nke ọma!
Announcement deleted successfully!,Announcement deleted successfully!,¡Anuncio eliminado exitosamente!,تم حذف الإعلان بنجاح!,Annonce supprimée avec succès !,Ankündigung erfolgreich gelöscht!,Объявление успешно удалено!,Duyuru başarıyla silindi!,घोषणा सफलतापूर्वक हटा दी गई!,اعلان کامیابی کے ساتھ حذف ہو گیا!,公告删除成功！,A kpochapụrụ ọkwa nke ọma!
Announcement does't exists!,Announcement does't exists!,¡El anuncio no existe!,الإعلان غير موجود!,L'annonce n'existe pas !,Ankündigung existiert nicht!,Объявление не существует!,Duyuru mevcut değil!,घोषणा मौजूद नहीं है!,اعلان موجود نہیں ہے!,公告不存在！,Ọ dịghị ọkwa dị!
Announcement Edit,Announcement Edit,Anuncio Editar,تحرير الإعلان,Annonce Modifier,Ankündigung bearbeiten,Объявление Править,Duyuru Düzenle,घोषणा संपादित करें,اعلان میں ترمیم کریں۔,公告 编辑,Nhazi ọkwa
Announcement updated successfully!,Announcement updated successfully!,¡Anuncio actualizado exitosamente!,تم تحديث الإعلان بنجاح!,Annonce mise à jour avec succès !,Ankündigung erfolgreich aktualisiert!,Объявление успешно обновлено!,Duyuru başarıyla güncellendi!,घोषणा सफलतापूर्वक अपडेट की गई!,اعلان کامیابی کے ساتھ اپ ڈیٹ ہو گیا!,公告更新成功！,emelitere ọkwa nke ọma!
Add Tags,Add Tags,Agregar etiquetas,إضافة العلامات,Ajouter des balises,Tags hinzufügen,Добавить теги,Etiket ekle,टैगों को जोड़ें,ٹیگز شامل کریں۔,添加标签,Tinye mkpado
Minimum,Minimum,Mínimo,الحد الأدنى,Minimum,Minimum,Минимум,Asgari,न्यूनतम,کم از کم,最低限度,Opekempe
Maximum,Maximum,Máximo,الحد الأقصى,Maximum,Maximal,Максимум,Maksimum,अधिकतम,زیادہ سے زیادہ,最大限度,Kachasị
Fixed,Fixed,Fijado,مُثَبَّت,Fixé,Fest,Зафиксированный,Sabit,तय,طے شدہ,固定的,Edoziri
Percent,Percent,Por ciento,نسبة مئوية,Pour cent,Prozent,Процент,Yüzde,प्रतिशत,فیصد,百分,Pasent
Input Text,Input Text,Texto de entrada,إدخال النص,Texte de saisie,Eingabetext,Введите текст,Giriş metni,इनपुट टेक्स्ट,ان پٹ ٹیکسٹ,输入文本,Ntinye Ederede
File,File,Archivo,ملف,Déposer,Datei,Файл,Dosya,फ़ाइल,فائل,文件,Faịlụ
Textarea,Textarea,área de texto,منطقة النص,Zone de texte,Textbereich,Текстовая область,Metin alanı,पाठ क्षेत्र,ٹیکسٹیریا,文本区,Mpaghara ederede
Select,Select,Seleccionar,يختار,Sélectionner,Wählen,Выбирать,Seçme,चुनना,منتخب کریں۔,选择,Họrọ
* (Use for make page link (URL)),* (Use for make page link (URL)),* (Usar para crear un enlace a la página (URL)),* (استخدم لإنشاء رابط الصفحة (URL)),* (Utiliser pour créer un lien de page (URL)),* (Zum Erstellen eines Seitenlinks (URL) verwenden),* (Использовать для создания ссылки на страницу (URL)),* (Sayfa bağlantısı oluşturmak için kullanın (URL)),* (पेज लिंक (यूआरएल) बनाने के लिए उपयोग करें),* (صفحہ کا لنک بنانے کے لیے استعمال کریں (URL)),*（用于创建页面链接（URL））,* (Jiri njikọ njikọ ibe (URL))
Supported Currency,Supported Currency,Moneda admitida,العملة المدعومة,Devise prise en charge,Unterstützte Währung,Поддерживаемая валюта,Desteklenen Para Birimi,समर्थित मुद्रा,تعاون یافتہ کرنسی,支持的货币,Ego akwadoro
Enabled Currency,Enabled Currency,Moneda habilitada,العملة الممكّنة,Devise activée,Aktivierte Währung,Включенная валюта,Etkin Para Birimi,सक्षम मुद्रा,فعال کرنسی,启用货币,Agbanyere ego
Currency Type,Currency Type,Tipo de moneda,نوع العملة,Type de devise,Währungstyp,Тип валюты,Para Birimi Türü,मुद्रा प्रकार,کرنسی کی قسم,货币类型,Ụdị ego
Gateway Name,Gateway Name,Nombre de la puerta de enlace,اسم البوابة,Nom de la passerelle,Gateway-Name,Имя шлюза,Ağ Geçidi Adı,गेटवे का नाम,گیٹ وے کا نام,网关名称,Aha ọnụ ụzọ ámá
Gateway Title,Gateway Title,Título de la puerta de enlace,عنوان البوابة,Titre de la passerelle,Gateway-Titel,Название шлюза,Ağ Geçidi Başlığı,गेटवे शीर्षक,گیٹ وے کا عنوان,网关标题,Aha Gateway
Supported Currencies,Supported Currencies,Monedas admitidas,العملات المدعومة,Devises prises en charge,Unterstützte Währungen,Поддерживаемые валюты,Desteklenen Para Birimleri,समर्थित मुद्राएँ,تعاون یافتہ کرنسیاں,支持的货币,Ego akwadoro
Currency Code,Currency Code,Código de moneda,رمز العملة,Code de devise,Währungscode,Код валюты,Para Birimi Kodu,मुद्रा कोड,رقم کا کوڈ,货币代码,Koodu ego
Currency Symbol,Currency Symbol,Símbolo de moneda,رمز العملة,Symbole monétaire,Währungszeichen,Символ валюты,Para Birimi Sembolü,मुद्रा चिन्ह,کرنسی کی علامت,货币符号,Akara ego
Are you sure to delete this,Are you sure to delete this,¿Estás seguro de eliminar esto?,هل أنت متأكد من حذف هذا,Êtes-vous sûr de supprimer ceci,Möchten Sie dies wirklich löschen?,"Вы уверены, что удалите это?",Bunu sileceğinizden emin misiniz?,क्या आप निश्चित रूप से इसे हटा देंगे,کیا آپ واقعی اسے حذف کرنا چاہتے ہیں؟,您确定要删除此内容吗,O doro anya na ị ga-ehichapụ nke a
